00000000000001011100 00000000000001101001
00000000000011100101 00000000000010001110
00000000000010010000 00000000000000110101
00000000000000010010 00000000000000001111
00000000000011001001 00000000000000000110
00000000000011110001 00000000000000100110
00000000000001100100 00000000000001000110
00000000000010100110 00000000000011100001
00000000000000100101 00000000000011100101
00000000000011000011 00000000000010100001
00000000000000101100 00000000000001111000
00000000000000110001 00000000000010111101
00000000000011101001 00000000000000000000
00000000000001011111 00000000000011110001
00000000000001010111 00000000000000010000
00000000000001010101 00000000000010000110
00000000000001011010 00000000000010000100
00000000000001010110 00000000000010001111
00000000000001001010 00000000000010111100
00000000000010000011 00000000000011001100
00000000000011110011 00000000000000010101
00000000000010001000 00000000000000011011
00000000000010010001 00000000000001010100
00000000000011011000 00000000000011010011
00000000000000001111 00000000000001011011
00000000000010100001 00000000000011010001
00000000000000101111 00000000000011000111
00000000000000000100 00000000000000000011
00000000000011010110 00000000000011001010
00000000000010000001 00000000000011011001
00000000000011110100 00000000000010110010
00000000000000010101 00000000000000000010
00000000000011101101 00000000000011010110
00000000000000110001 00000000000010110101
00000000000011011101 00000000000000001011
00000000000000111001 00000000000011011000
00000000000001001101 00000000000010000010
00000000000011001110 00000000000010011010
00000000000011110110 00000000000001011011
00000000000000110011 00000000000001111011
00000000000010101111 00000000000001000101
00000000000000111000 00000000000011011001
00000000000000011011 00000000000010011001
00000000000001010011 00000000000011011101
00000000000011011000 00000000000011101001
00000000000010010000 00000000000000110100
00000000000000111100 00000000000000100100
00000000000001111010 00000000000000010111
00000000000011100011 00000000000000100001
00000000000010100100 00000000000001001000
00000000000010110101 00000000000001011000
00000000000001010001 00000000000001101000
00000000000001111001 00000000000001100000
00000000000011000001 00000000000001100110
00000000000010010110 00000000000000110101
00000000000001001000 00000000000001000111
00000000000011101101 00000000000010111101
00000000000011011011 00000000000010001111
00000000000011001001 00000000000011011110
00000000000010011110 00000000000001000001
00000000000010100110 00000000000011100000
00000000000001100010 00000000000001100000
00000000000001111000 00000000000000100110
00000000000011010011 00000000000000110101
10101111000110011000
